,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
"['100522', '100567', '100610', '100612', '100654', '100671', '100720', '100732', '100774', '100791', '100821', '100835', '100868', '100896', '100910', '100941', '100952', '100999', '101006', '101056', '101619', '101666', '101721', '101770', '101812', '101861', '101904', '101947', '101985', '102018', '62508', '62514', '62520', '62526', '62532', '62538', '62544', '62550', '62554', '62562', '62564', '62574', '62576', '62586', '62591', '62598', '62604', '62610', '62616', '62622', '62628', '62634', '62640', '62646', '62652', '62658', '62664', '62670', '62676', '62682', '62688', '62694', '62700', '62706', '62712', '62718', '62724', '62730', '65245', '65251', '65257', '65263', '65269', '65275', '65281', '65287', '65293', '65299', '65305', '65311', '65317', '65323', '65329', '65335', '65341', '65347', '65353', '65359', '65989', '65995', '66001', '66007', '66013', '66019', '66025', '66031', '66037', '66043', '66049', '66055', '66061', '66067', '66073', '66079', '66085', '66091', '66097', '66103', '66109', '66115', '66121', '66127', '66133', '66139', '66145', '66151', '66157', '66163', '66169', '98931', '98942', '98953', '98964', '98975', '98986', '98997', '99008', '99025', '99048', '99272', '99305', '99338', '99360', '99382', '99415', '99449', '99481', '99503', '99524', '99570', '99592', '99614', '99625', '99636', '99647', '99658', '99669', '99687', '99710']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['107667', '107668', '107669', '107670', '107671', '107672', '107673', '107674', '107675', '107676', '107677', '107678', '107679', '107680', '107681', '107682', '107683', '107684', '107685', '107686', '107687', '107689', '107690', '107691', '107692', '107693', '107694', '107695', '107696', '107697', '107698', '107699', '107700', '107701', '107702', '107703', '107704', '107705', '107706', '107707', '107708', '107709', '107710', '107711', '107712', '107713', '107714', '107715', '107716', '107717', '107718', '107719', '107720', '107721', '107722', '107723', '107724', '107725', '107726', '107727', '107728', '107729', '107730', '107731', '107732', '107733', '107734', '107735', '107736', '107737', '107738', '107739', '107740', '107741', '107742', '107743', '107744', '107745', '107746', '107747', '107748', '107749', '107750', '107751', '107753', '107754', '107755', '107756', '107757', '107758', '107759', '107760', '107761', '107762', '107763', '107764', '107765', '107766', '107767', '107768', '107769', '107770', '107771', '107772', '107773', '107774', '107775', '107776', '107777', '107778', '107779', '107780', '107781', '107782', '107783', '107784', '107785', '107786', '107787', '107788', '107789', '107790', '107791', '107792', '107793', '107794', '107795', '107796', '107797', '107798', '107799', '107800', '107801', '107802', '107803', '107804', '107805', '107806', '107807', '107808', '107809', '107810', '107811', '107812', '107813', '107814', '107815', '107816', '107817', '107818', '107819', '107820', '107821', '107822', '107823', '107824', '107825', '107826', '107827', '107828', '107829', '107830', '107831', '107832', '107833', '107834', '107835', '107836', '107837', '107838', '107839', '107840', '107841', '107842', '107843', '107844', '107845', '107846', '107847', '107848', '107849', '107850', '107851', '107852', '107853', '107854', '107855', '107856', '107857', '107858', '107859', '107860', '107861', '107862', '107863', '107864', '107865', '107866', '107867', '107868', '107869', '107870', '107871', '107872', '107873', '107874', '107875', '107876', '107877', '107878', '87472', '87473', '87474', '87475', '87476', '87477', '87478', '87479', '87480', '87481', '87482', '87483', '87484', '87485', '87486', '87487', '87488', '87489', '87490', '87491', '87492', '87493', '87494', '87495', '87496', '87497', '87498', '87499', '87500', '87501', '87502', '87503', '87504', '87505', '87506', '87507', '87508', '87509', '87510', '87511', '87522', '87523', '87524', '87525', '87526', '87527', '87528', '87529', '87530', '87531', '87542', '87543', '87545', '87547', '87549', '87551', '87553', '87555', '87556', '87558', '87572', '87573', '87574', '87575', '87576', '87577', '87578', '87579', '87580', '87581', '87602', '87603', '87604', '87605', '87606', '87607', '87608', '87609', '87610', '87611', '87612', '87613', '87614', '87615', '87616', '87617', '87618', '87619', '87620', '87621', '87622', '87623', '87624', '87625', '87626', '87627', '87628', '87629', '87630', '87631', '87693', '87694', '87695', '87696', '87697', '87698', '87699', '87700', '87701', '87702', '87711', '87713', '87715', '87716', '87717', '87718', '87719', '87720', '87721', '87722', '87733', '87734', '87735', '87736', '87737', '87738', '87739', '87740', '87741', '87742', '87763', '87764', '87765', '87766', '87767', '87768', '87769', '87770', '87771', '87772', '87780', '87791', '87792', '87803', '87804', '87805', '87806', '87807', '87808', '87809', '87810', '87811', '87812', '87813', '87814', '87815', '87816', '87817', '87818', '87819', '87820', '87821', '87822', '87833', '87834', '87835', '87836', '87837', '87838', '87839', '87840', '87841', '87842', '87863', '87864', '87865', '87866', '87867', '87868', '87869', '87870', '87871', '87872', '87883', '87884', '87885', '87886', '87887', '87888', '87889', '87890', '87891', '87892', '87899', '87900', '87901', '87902', '87903', '87904', '87905', '87906', '87907', '87908', '87909', '87910', '87911', '87912', '87913', '87914', '87915', '87916', '87917', '87918', '87919', '87920', '87921', '87922', '87923', '87924', '87925', '87926', '87927', '87928', '87929', '87930', '87931', '87932', '87933', '87934', '87935', '87936', '87937', '87938', '87939', '87940', '87941', '87942', '87943', '87944', '87945', '87946', '87947', '87948', '87949', '87950', '87951', '87952', '87954', '87955', '87957', '87958', '87960', '87961', '87969', '87970', '87971', '87972', '87973', '87974', '87975', '87976', '87977', '87978', '87989', '87990', '87991', '87992', '87993', '87994', '87995', '87996', '87997', '87998', '88009', '88010', '88011', '88012', '88013', '88014', '88015', '88016', '88017', '88018', '88029', '88030', '88031', '88032', '88034', '88035', '88037', '88038', '88040', '88041', '88089', '88090', '88091', '88092', '88093', '88094', '88095', '88096', '88097', '88098', '88099', '88100', '88101', '88102', '88103', '88104', '88105', '88106', '88107', '88108', '88109', '88110', '88111', '88112', '88113', '88114', '88115', '88116', '88117', '88118', '88119', '88120', '88121', '88122', '88123', '88124', '88125', '88126', '88127', '88128', '88129', '88130', '88131', '88132', '88133', '88134', '88135', '88136', '88137', '88138', '88139', '88140', '88141', '88142', '88143', '88144', '88145', '88146', '88147', '88148', '88149', '88150', '88151', '88152', '88153', '88154', '88155', '88156', '88157', '88158', '88159', '88160', '88161', '88162', '88163', '88164', '88165', '88166', '88167', '88168', '88173', '88174', '88175', '88176', '88177', '88178', '88179', '88180', '88181', '88182', '88183', '88184', '88185', '88186', '88187', '88188', '88189', '88190', '88191', '88192', '88288', '88289', '88290', '88291', '88292', '88293', '88294', '88295', '88296', '88297', '88298', '88299', '88300', '88301', '88302', '88303', '88304', '88305', '88306', '88307', '88308', '88309', '88310', '88311', '88312', '88313', '88314', '88315', '88316', '88317', '88318', '88319', '88320', '88321', '88322', '88323', '88324', '88325', '88326', '88327', '88328', '88329', '88330', '88331', '88332', '88333', '88334', '88335', '88336', '88337', '88338', '88339', '88340', '88341', '88342', '88343', '88344', '88345', '88346', '88347', '88348', '88349', '88350', '88351', '88352', '88353', '88354', '88355', '88356', '88357', '88359', '88360', '88361', '88362', '88363', '88364', '88365', '88366', '88367', '88368', '88369', '88370', '88371', '88375', '88380', '88382', '88383', '88384', '88385', '88386', '88387', '88388', '88389', '88390', '88391', '88392', '88393', '88394', '88395', '94584', '94585', '94586', '94587', '94588', '94589', '94590', '94591', '94592', '94593', '94596', '94597', '94598', '94599', '94600', '94601', '94602', '94604', '94605', '94662', '94663', '94664', '94665', '94666', '94667', '94668', '94669', '94670', '94671', '94672', '94673', '94674', '94675', '94676', '94677', '94678', '94679', '94680', '94681', '94682', '94683', '94684', '94685', '94686', '94687', '94688', '94689', '94690', '94691', '94692', '94693', '94694', '94695', '94696', '94697', '94698', '94699', '94700', '94701', '94702', '94703', '94704', '94705', '94706', '94707', '94708', '94709', '94710', '94711', '94712', '94713', '94714', '94715', '94716', '94717', '94718', '94719', '94720', '94722', '94723', '94724', '94725', '94726', '94727', '94728', '94729', '94730', '94731', '94732', '94733', '94734', '94735', '94736', '94737', '94738', '94739', '94740', '94741', '97531', '97532', '97533', '97534', '97535', '97536', '97537', '97538', '97539', '97540', '97541', '97542', '97543', '97544', '97545', '97546', '97547', '97548', '97549', '97550', '97551', '97552', '97553', '97554', '97555', '97556', '97557', '97558', '97559', '97560', '97561', '97562', '97563', '97564', '97565', '97566', '97567', '97568', '97569', '97570', '97571', '97572', '97573', '97574', '97575', '97576', '97577', '97578', '97579', '97580', '97581', '97582', '97583', '97584', '97585', '97586', '97587', '97588', '97589', '97590', '97591', '97592', '97593', '97594', '97595', '97596', '97597', '97598', '97599', '97600', '97601', '97602', '97603', '97604', '97605', '97606', '97607', '97608', '97609', '97610', '97611', '97612', '97613', '97614', '97615', '97616', '97617', '97618', '97619', '97620', '97621', '97622', '97623', '97624', '97625', '97626', '97627', '97628', '97629', '97630', '97631', '97632', '97633', '97634', '97635', '97636', '97637', '97638', '97639', '97640', '97641', '97642', '97643', '97644', '97645', '97646', '97647', '97648', '97649', '97650', '97651', '97652', '97653', '97654', '97655', '97656', '97657', '97658', '97659', '97660', '97661', '97662', '97663', '97664', '97665', '97666', '97667', '97668', '97669', '97670', '97671', '97672', '97673', '97674', '97675', '97676', '97677', '97678', '97679', '97680', '97681', '97682', '97683', '97684', '97685', '97686', '97687', '97688', '97689', '97690', '97691', '97692', '97693', '97694', '97695', '97696', '97697', '97698', '97699', '97700', '97701', '97702', '97703', '97704', '97705', '97706', '97707', '97708', '97709', '97710', '97711', '97712', '97713', '97714', '97715', '97716', '97717', '97718', '97719', '97720', '97721', '97722', '97723', '97724', '97725', '97726', '97727', '97728', '97729', '97730', '97731', '97732', '97733', '97734', '97735', '97736', '97737', '97738', '97739', '97740', '97741', '97742', '97743', '97744', '97745', '97746', '97747', '97748', '97749', '97750', '97751', '97752', '97753', '97754', '97755', '97756', '97757', '97758', '97759', '97760', '97761', '97762', '97763', '97764', '97765', '97766', '97767', '97768', '97769', '97770']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['107880', '107881', '107882', '107883', '107884', '107885', '107886', '107887', '107888', '107889', '107890', '107891', '107892', '107893', '107894', '107895', '107896', '107897', '107898', '107899', '107900', '107901', '107902', '107903', '107904', '107905', '107906', '107907', '107908', '107909', '107910', '107911', '107912', '107913', '107914', '107915', '107916', '107917', '107918', '107919', '107920', '107921', '107922', '107923', '107924', '107925', '107926', '107927', '107928', '107929', '107980', '107981', '107982', '107983', '107984', '107985', '107986', '107987', '107988', '107989', '107990', '107991', '107992', '107993', '107994', '107995', '107996', '107997', '107998', '107999', '108000', '108001', '108002', '108003', '108004', '108005', '108006', '108007', '108008', '108009', '108010', '108011', '108012', '108013', '108014', '108025', '108026', '108027', '108028', '108029', '108032', '108033', '108034', '108035', '108036', '108037', '108038', '108039', '108040', '108041', '108042', '108043', '108044', '108045', '108046', '108047', '108048', '108049', '108050', '108051', '108052', '108053', '108054', '108055', '108056', '108057', '108058', '108059', '108060', '108061', '108062', '108063', '108064', '108065', '108066', '108067', '108068', '108069', '108070', '108071', '108072', '108073', '108074', '108075', '108076', '108077', '108078', '108079', '108080', '108081', '108097', '108098', '108099', '108100', '108101', '108102', '108103', '108104', '108105', '108106', '108107', '108108', '108109', '108110', '108111', '108112', '108113', '108114', '108115', '108116', '108117', '108118', '108119', '108120', '108121', '108122', '108123', '108124', '108125', '108126', '108127', '108128', '108129', '108130', '108131', '108132', '108133', '108134', '108135', '108136', '108137', '108138', '108139', '108140', '108141', '108142', '108143', '108144', '108145', '108146', '108197', '108198', '108199', '108200', '108201', '108202', '108203', '108204', '108205', '108206', '108207', '108208', '108209', '108210', '108211', '108212', '108213', '108214', '108215', '108216', '108217', '108218', '108219', '108220', '108221', '108222', '108223', '108224', '108225', '108226', '108227', '108228', '108229', '108230', '108231', '108232', '108233', '108234', '108235', '108236', '108237', '108238', '108239', '108240', '108241', '108242', '108243', '108244', '108245', '108246', '108248', '108249', '108250', '108251', '108252', '108253', '108254', '108255', '108256', '108257', '108258', '108259', '108260', '108261', '108262', '108263', '108264', '108265', '108266', '108267', '108268', '108269', '108270', '108271', '108272', '108273', '108274', '108275', '108276', '108277', '108278', '108279', '108280', '108281', '108282', '108283', '108284', '108285', '108286', '108287', '108288', '108289', '108290', '108291', '108292', '108293', '108294', '108295', '108296', '108297', '173884', '173885', '173886', '173887', '173888', '173889', '173890', '173891', '173892', '173893', '173894', '173895', '173896', '173897', '173898', '173899', '173900', '173902', '173903', '173905', '173906', '173907', '173908', '173909', '173910', '173911', '173912', '173913', '173914', '173915', '173916', '173917', '173918', '173919', '173920', '173921', '173922', '173923', '173924', '173930', '173931', '173932', '173933', '173934', '173935', '173936', '173937', '173938', '173939', '173940', '173941', '173942', '173943', '173944', '173945', '173946', '173947', '173948', '173949', '173951', '173952', '173953', '173954', '173955', '173956', '173957', '173958', '173959', '173960', '173962', '173963', '173964', '173965', '173966', '173967', '173968', '173969', '173970', '173972', '173973', '173974', '173975', '173976', '173977', '173978', '173979', '173980', '173981', '173982', '173983', '173984', '173985', '173986', '173987', '173988', '173989', '173990', '173991', '173994', '173995', '173996', '173997', '173998', '174000', '174001', '174002', '174003', '174004', '174005', '174006', '174007', '174008', '174009', '174010', '174011', '174012', '174013', '174014', '174015', '174016', '174017', '174018', '174019', '174020', '174021', '174022', '174023']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['107930', '107935', '107940', '107955', '107960', '107965', '107970', '107975', '108147', '108152', '108157', '108162', '108167', '108172', '108177', '108182', '108187', '108192']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['1080', '147977', '147978', '147979', '147980', '147981', '147982', '147983', '147984', '147985', '147986', '147987', '147988', '147989', '147990', '147991', '147992', '147993', '147994', '147995', '147996', '147997', '147998', '147999', '148000', '148001', '148002', '148003', '148004', '148005', '148006', '148007', '148008', '148009', '148010', '148011', '148012', '148013', '148014', '148015', '148016', '71339', '71340', '71341', '71342', '71343', '71344', '71345', '71346', '71347', '71348', '71349', '71350', '71351', '71352', '71353', '71354', '71355', '71356', '71357', '71358', '71359', '71360', '71361', '71362', '71363', '71364', '71365', '71366', '71367', '71368', '807', '808', '809', '810', '84619', '84620', '84621', '84622', '84623', '84624', '84625', '84626', '84627', '84628', '84699', '84700', '84701', '84702', '84703', '84704', '84705', '84706', '84708', '85089', '85090', '85091', '85092', '85093', '85094', '85095', '85096', '85097', '85098', '85099', '85100', '85101', '85102', '85103', '85104', '85105', '85106', '85107', '85108', '85648', '85649', '85650', '85651', '85652', '85653', '85654', '85655', '85656', '85657', '85658', '85659', '85660', '85661', '85662', '85663', '85664', '85665', '85666', '85667', '85668', '85669', '85670', '85671', '85672', '85673', '85674', '85675', '85676', '85677', '85678', '85679', '85680', '85681', '85682', '85683', '85684', '85685', '85686', '85687', '86096', '86097', '86098', '86099', '86100', '86101', '86102', '86103', '86104', '86105', '86116', '86117', '86118', '86119', '86120', '86121', '86122', '86123', '86124', '86125', '94865', '94866', '94867', '94868', '94869', '94870', '94871', '94872', '94873', '94874', '94875', '94876', '94877', '94878', '94879', '94880', '94881', '94882', '94883', '94884', '94885', '94886', '94887', '94888', '94889', '94890', '94891', '94892', '94893', '94894', '94895', '94896', '94897', '94898', '94899', '94900', '94901', '94902', '94903', '94904']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['1081', '1082', '1083', '1084', '1085', '108897', '108900', '108903', '108906', '108909', '108912', '108915', '108918', '108921', '108924', '108927', '108930', '108933', '108936', '108939', '108942', '108945', '108948', '108951', '108954', '108957', '108960', '108963', '108966', '108969', '108972', '108975', '108978', '108981', '108984', '108987', '108990', '108993', '108996', '108999', '109002', '109005', '109008', '109011', '109014', '1251', '1252', '1253', '1254', '147877', '147878', '147879', '147880', '147881', '147882', '147883', '147884', '147885', '147886', '147887', '147888', '147889', '147890', '147891', '147892', '147893', '147894', '147895', '147896', '147897', '147898', '147899', '147900', '147901', '147902', '147903', '147904', '147905', '147906', '147907', '147908', '147909', '147910', '147911', '147912', '147913', '147914', '147915', '147916', '147917', '147918', '147919', '147920', '147921', '147922', '147923', '147924', '147925', '147926', '147927', '147928', '147929', '147930', '147931', '147932', '147933', '147934', '147935', '147936', '148017', '148018', '148019', '148020', '148021', '148022', '148023', '148024', '148025', '148026', '148027', '148028', '148029', '148030', '148031', '148032', '148033', '148034', '148035', '148036', '148037', '148038', '148039', '148040', '148041', '148042', '148043', '148044', '148045', '148046', '148047', '148048', '148049', '148050', '148051', '148052', '148053', '148054', '148055', '148056', '186512', '2214', '2215', '2216', '2217', '2218', '59857', '59859', '59860', '59861', '59862', '59863', '59864', '59865', '59866', '59867', '59868', '59869', '59870', '59871', '59873', '59874', '59875', '59877', '59878', '59879', '59880', '59881', '59885', '59886', '59887', '59888', '59889', '59890', '59892', '59893', '59894', '59895', '59897', '59898', '59899', '59900', '59901', '59903', '59905', '59909', '59911', '59912', '59913', '59917', '59918', '59919', '59920', '59921', '59922', '59924', '59925', '59926', '59927', '59929', '59930', '59932', '59933', '59935', '59937', '59939', '59940', '59941', '59942', '59943', '59946', '59948', '59949', '59951', '59952', '59953', '59954', '59956', '59957', '59958', '59959', '59960', '59961', '59962', '59963', '59964', '59965', '59968', '59969', '59970', '59971', '59972', '59974', '59975', '59976', '84659', '84660', '84661', '84662', '84663', '84664', '84665', '84666', '84667', '84668', '84669', '84670', '84671', '84672', '84673', '84674', '84675', '84676', '84677', '84678', '847', '848', '849', '85009', '85010', '85011', '85012', '85013', '85014', '85015', '85016', '85017', '85018', '85049', '85050', '85051', '85052', '85053', '85054', '85055', '85057', '85060', '85061', '85210', '85211', '85212', '85213', '85214', '85215', '85216', '85217', '85218', '85219', '85240', '85241', '85242', '85243', '85244', '85245', '85246', '85247', '85248', '85249', '91668', '91669', '91670', '91671', '91672', '91673']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['110452'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['112910', '112915', '112920', '112925', '112930', '112935', '112940', '112945', '112950', '112955', '120453', '120458', '120463', '120468', '120473', '120478', '120483', '120488', '120493', '120498', '58362', '58367', '58372', '58377', '58382', '58387', '58392', '58397', '58402', '58407', '58412', '58417', '58422', '58427', '58432', '58437', '58442', '58447', '58452', '58457', '58462', '58467', '58472', '58477', '58482', '58487', '58492', '58497', '58502', '58507', '74030', '74035', '74040', '74045', '74050', '74055', '74060', '74065', '74070', '74075', '74080', '74085', '74095', '74100', '74105', '74110', '74115', '74120', '74125', '74130', '74135', '74140', '74145', '74150', '74155', '74160', '74165', '74170', '74175']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['112960', '112964', '112968', '112972', '112976', '112980', '112988', '112992', '112996', '113010', '113011', '113013', '113014', '113015', '113016', '113018', '113019', '113020', '113021', '113022', '113023', '113024', '113025', '113026', '113027', '113028', '113029', '113030', '113031', '113032', '113033', '113034', '113035', '113036', '113037', '113038', '113039', '119238', '119239', '119240', '119241', '119242', '119243', '119244', '119245', '119246', '119247', '119248', '119249', '119250', '119251', '119252', '119253', '119254', '119255', '119256', '119257', '119258', '119259', '119260', '119261', '119262', '119263', '119264', '119265', '119266', '119267', '119268', '119269', '119270', '119271', '119272', '119273', '119274', '119275', '119276', '119277', '119278', '119279', '119280', '119281', '119282', '119283', '119284', '119285', '119286', '119287', '119288', '119289', '119290', '119291', '119292', '119293', '119294', '119295', '119296', '119297', '119298', '119299', '119300', '119301', '119302', '119303', '119304', '119305', '119306', '119307', '119308', '119309', '119310', '119311', '119318', '119322', '119326', '119330', '119334', '119338', '119342', '119346', '119350', '119354', '119358', '119359', '119360', '119361', '119362', '119363', '119364', '119365', '119366', '119367', '119368', '119369', '119370', '119371', '119372', '119373', '119374', '119375', '119376', '119377', '119378', '119379', '119380', '119381', '119382', '119383', '119384', '119385', '119386', '119387', '120383', '120384', '120385', '120386', '120387', '120388', '120389', '120390', '120391', '120392', '120393', '120394', '120395', '120396', '120397', '120398', '120399', '120400', '120401', '120402', '120413', '120417', '120421', '120425', '120429', '120433', '120437', '120441', '120445', '120449', '177388', '177392', '177396', '177400', '177408', '177416', '177424', '177436', '177440', '177460', '177468', '177488', '177492', '177496', '73343', '73347', '73357', '73361', '73365', '73369', '73373', '73377', '73381', '73385', '73389', '73393', '73397', '73401', '73405', '73409', '73413', '73417', '73421', '73425', '73429', '73433', '73437', '73441', '73445', '73449', '73453', '73457', '73461', '73465', '74000', '74001', '74002', '74003', '74004', '74005', '74006', '74007', '74008', '74009', '74010', '74011', '74012', '74013', '74014', '74015', '74016', '74017', '74018', '74019', '74020', '74021', '74022', '74023', '74024', '74025', '74026', '74027', '74028', '74029', '74402', '74403', '74404', '74407']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['113150', '113154', '113158', '113162', '113166', '113170', '113174', '113178', '113182', '113186', '113230', '113234', '113238', '113242', '113246', '113250', '113258', '113262', '113266', '137966', '137970', '137974', '137978', '137982', '137986', '137990', '137994', '137998', '138002', '138006', '138010', '138014', '138018', '138022', '138095', '138096', '138097', '138098', '138099', '138100', '138101', '138102', '138103', '138104', '138105', '138106', '138107', '138108', '138109', '139169', '139177', '139217', '139225', '139313', '139315', '139317', '139335', '139448', '139449', '139450', '139451', '139452', '139453', '139454', '139455', '139468', '139469', '139470', '139471', '139480', '139483', '139488', '139491', '139492', '139493', '139494', '139497', '139498', '139499', '139502', '139503', '139504', '139507', '139508', '139509', '139532', '139533', '139534', '139547', '139548', '139549', '139552', '139553', '139554', '139557', '139558', '139559', '139562', '139563', '139564', '139567', '139568', '139569', '139570', '139571', '139572', '139573', '139574', '139575', '139576', '139577', '139578', '139579', '139580', '139581', '139582', '139615', '139616', '139617', '139621', '139622', '139670', '139671', '139672', '139673', '139675', '139676', '139677', '177695', '177696', '177697', '177741', '177746', '177751', '177753', '177754', '177755', '177759', '177760', '74552', '74553', '74554', '74555', '74556', '74557', '74558', '74559', '74560', '74561', '74562', '74563', '74564', '74565', '74566', '74567', '74568', '74569', '74570', '74571', '74572', '74573', '74574', '74575', '74576', '74577', '74578', '74579', '74580', '74581', '93721', '93722', '93723', '93724', '93725', '93726', '93727', '93728', '93729', '93730', '93731', '93732', '93733', '93734', '93735', '93736', '93737', '93738', '93739', '93740', '93741', '93742', '93743', '93744', '93745', '93746', '93747', '93748', '93749', '93750', '93751', '93752', '93753', '93754', '93755', '93756', '93757', '93758', '93759', '93760', '93761', '93762', '93763', '93764', '93765', '93766', '93767', '93768', '93769', '93770', '93771', '93772', '93773', '93774', '93775', '93776', '93777', '93778', '93779', '93780', '93781', '93782', '93783', '93784', '93785', '93786', '93787', '93788', '93789', '93790']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
